	pairID	ancestor	descendant	TREEDIST_anc-to-desc	perc_seq_id	anc_seq_len	desc_seq_len	alignment_len	num_matches	num_subs	num_ins	num_dels	pfam	clan	type	pfam_Nseqs
0	FW_PF02826_p0	Q6CDS0_YARLI/138-313	Q6CUU6_KLULA/123-302	0.92282	0.5113636363636364	176	180	184	90	82	8	4	PF02826	CL0063	Domain	133
1	RV_PF02826_p0	Q6CUU6_KLULA/123-302	Q6CDS0_YARLI/138-313	0.92282	0.5113636363636364	180	176	184	90	82	4	8	PF02826	CL0063	Domain	133
2	FW_PF02826_p1	Q6N907_RHOPA/110-279	Q8G427_BIFLO/129-304	1.46713	0.38823529411764707	170	176	180	66	100	10	4	PF02826	CL0063	Domain	133
3	RV_PF02826_p1	Q8G427_BIFLO/129-304	Q6N907_RHOPA/110-279	1.46713	0.38823529411764707	176	170	180	66	100	4	10	PF02826	CL0063	Domain	133
4	FW_PF02826_p2	Q7PM25_ANOGA/135-312	Q7UQC8_RHOBA/195-374	1.1341700000000001	0.449438202247191	178	180	184	80	94	6	4	PF02826	CL0063	Domain	133
5	RV_PF02826_p2	Q7UQC8_RHOBA/195-374	Q7PM25_ANOGA/135-312	1.1341700000000001	0.449438202247191	180	178	184	80	94	4	6	PF02826	CL0063	Domain	133
6	FW_PF02826_p3	Q930D0_RHIME/109-283	Q9A6E7_CAUVC/114-286	1.51163	0.3872832369942196	175	173	177	67	104	2	4	PF02826	CL0063	Domain	133
7	RV_PF02826_p3	Q9A6E7_CAUVC/114-286	Q930D0_RHIME/109-283	1.51163	0.3872832369942196	173	175	177	67	104	4	2	PF02826	CL0063	Domain	133
8	FW_PF02826_p4	Q88MC4_PSEPK/123-310	Q89388_PBCV1/137-330	1.34367	0.3829787234042553	188	194	198	72	112	10	4	PF02826	CL0063	Domain	133
9	RV_PF02826_p4	Q89388_PBCV1/137-330	Q88MC4_PSEPK/123-310	1.34367	0.3829787234042553	194	188	198	72	112	4	10	PF02826	CL0063	Domain	133
10	FW_PF02826_p5	Q81BC1_BACCR/94-272	Q9CHW4_LACLA/94-276	1.16249	0.45251396648044695	179	183	188	81	93	9	5	PF02826	CL0063	Domain	133
11	RV_PF02826_p5	Q9CHW4_LACLA/94-276	Q81BC1_BACCR/94-272	1.16249	0.45251396648044695	183	179	188	81	93	5	9	PF02826	CL0063	Domain	133
12	FW_PF02826_p6	Q8ES01_OCEIH/104-278	Q9KEA4_HALH5/104-278	1.6159100000000002	0.41714285714285715	175	175	175	73	102	0	0	PF02826	CL0063	Domain	133
13	RV_PF02826_p6	Q9KEA4_HALH5/104-278	Q8ES01_OCEIH/104-278	1.6159100000000002	0.41714285714285715	175	175	175	73	102	0	0	PF02826	CL0063	Domain	133
14	FW_PF02826_p7	Q744I9_MYCPA/117-290	Q8Y3G4_RALSO/125-311	1.5116999999999998	0.39080459770114945	174	187	187	68	106	13	0	PF02826	CL0063	Domain	133
15	RV_PF02826_p7	Q8Y3G4_RALSO/125-311	Q744I9_MYCPA/117-290	1.5116999999999998	0.39080459770114945	187	174	187	68	106	0	13	PF02826	CL0063	Domain	133
16	FW_PF02826_p8	Q7VWF3_BORPE/102-275	Q9I448_PSEAE/102-275	1.92013	0.3563218390804598	174	174	177	62	109	3	3	PF02826	CL0063	Domain	133
17	RV_PF02826_p8	Q9I448_PSEAE/102-275	Q7VWF3_BORPE/102-275	1.92013	0.3563218390804598	174	174	177	62	109	3	3	PF02826	CL0063	Domain	133
18	FW_PF02826_p9	Q1GAA2_LACDA/113-300	Q893I3_CLOTE/109-295	2.02723	0.3689839572192513	188	187	197	69	109	9	10	PF02826	CL0063	Domain	133
19	RV_PF02826_p9	Q893I3_CLOTE/109-295	Q1GAA2_LACDA/113-300	2.02723	0.3689839572192513	187	188	197	69	109	10	9	PF02826	CL0063	Domain	133
20	FW_PF02826_p10	A9CGR6_AGRFC/108-282	Q6N4R6_RHOPA/112-287	1.36752	0.41714285714285715	175	176	178	73	100	3	2	PF02826	CL0063	Domain	133
21	RV_PF02826_p10	Q6N4R6_RHOPA/112-287	A9CGR6_AGRFC/108-282	1.36752	0.41714285714285715	176	175	178	73	100	2	3	PF02826	CL0063	Domain	133
22	FW_PF02826_p11	Q73S82_MYCPA/116-289	Q92MQ6_RHIME/112-283	1.41482	0.38953488372093026	174	172	181	67	98	7	9	PF02826	CL0063	Domain	133
23	RV_PF02826_p11	Q92MQ6_RHIME/112-283	Q73S82_MYCPA/116-289	1.41482	0.38953488372093026	172	174	181	67	98	9	7	PF02826	CL0063	Domain	133
24	FW_PF02826_p12	Q7S5T8_NEUCR/126-309	Q82CV5_STRAW/110-278	2.8725300000000002	0.3254437869822485	184	169	186	55	112	2	17	PF02826	CL0063	Domain	133
25	RV_PF02826_p12	Q82CV5_STRAW/110-278	Q7S5T8_NEUCR/126-309	2.8725300000000002	0.3254437869822485	169	184	186	55	112	17	2	PF02826	CL0063	Domain	133
26	FW_PF02826_p13	FDH_NEUCR/129-314	S5YGN0_PARAH/156-335	1.02358	0.4777777777777778	186	180	187	86	93	1	7	PF02826	CL0063	Domain	133
27	RV_PF02826_p13	S5YGN0_PARAH/156-335	FDH_NEUCR/129-314	1.02358	0.4777777777777778	180	186	187	86	93	7	1	PF02826	CL0063	Domain	133
28	FW_PF02826_p14	Q9HK29_THEAC/103-277	YGDH_SCHPO/125-300	1.50806	0.37142857142857144	175	176	177	65	109	2	1	PF02826	CL0063	Domain	133
29	RV_PF02826_p14	YGDH_SCHPO/125-300	Q9HK29_THEAC/103-277	1.50806	0.37142857142857144	176	175	177	65	109	1	2	PF02826	CL0063	Domain	133
30	FW_PF02826_p15	Q75CF2_ASHGO/165-350	Q89QF5_BRADU/131-308	1.92814	0.3258426966292135	186	178	195	58	111	9	17	PF02826	CL0063	Domain	133
31	RV_PF02826_p15	Q89QF5_BRADU/131-308	Q75CF2_ASHGO/165-350	1.92814	0.3258426966292135	178	186	195	58	111	17	9	PF02826	CL0063	Domain	133
32	FW_PF02826_p16	A9CJ49_AGRFC/105-292	Q9RKF9_STRCO/121-297	2.32834	0.327683615819209	188	177	189	58	118	1	12	PF02826	CL0063	Domain	133
33	RV_PF02826_p16	Q9RKF9_STRCO/121-297	A9CJ49_AGRFC/105-292	2.32834	0.327683615819209	177	188	189	58	118	12	1	PF02826	CL0063	Domain	133
34	FW_PF02826_p17	Q8P7R1_XANCP/113-292	Q8YK31_NOSS1/109-295	1.3555300000000001	0.4166666666666667	180	187	190	75	102	10	3	PF02826	CL0063	Domain	133
35	RV_PF02826_p17	Q8YK31_NOSS1/109-295	Q8P7R1_XANCP/113-292	1.3555300000000001	0.4166666666666667	187	180	190	75	102	3	10	PF02826	CL0063	Domain	133
36	FW_PF02826_p18	Q8G843_BIFLO/88-263	Q9CE59_LACLA/105-280	1.46693	0.3693181818181818	176	176	176	65	111	0	0	PF02826	CL0063	Domain	133
37	RV_PF02826_p18	Q9CE59_LACLA/105-280	Q8G843_BIFLO/88-263	1.46693	0.3693181818181818	176	176	176	65	111	0	0	PF02826	CL0063	Domain	133
38	FW_PF02826_p19	Q6L245_PICTO/106-276	Q972A9_SULTO/110-285	1.4312399999999998	0.3508771929824561	171	176	181	60	106	10	5	PF02826	CL0063	Domain	133
39	RV_PF02826_p19	Q972A9_SULTO/110-285	Q6L245_PICTO/106-276	1.4312399999999998	0.3508771929824561	176	171	181	60	106	5	10	PF02826	CL0063	Domain	133
40	FW_PF02826_p20	Q5SI06_THET8/96-261	Q9RTQ5_DEIRA/106-274	1.23296	0.4578313253012048	166	169	176	76	83	10	7	PF02826	CL0063	Domain	133
41	RV_PF02826_p20	Q9RTQ5_DEIRA/106-274	Q5SI06_THET8/96-261	1.23296	0.4578313253012048	169	166	176	76	83	7	10	PF02826	CL0063	Domain	133
42	FW_PF02826_p21	Q8XPB1_CLOPE/108-277	Q97N23_CLOAB/109-282	1.25381	0.4411764705882353	170	174	175	75	94	5	1	PF02826	CL0063	Domain	133
43	RV_PF02826_p21	Q97N23_CLOAB/109-282	Q8XPB1_CLOPE/108-277	1.25381	0.4411764705882353	174	170	175	75	94	1	5	PF02826	CL0063	Domain	133
44	FW_PF02826_p22	Q87KR2_VIBPA/98-272	Q8EJ83_SHEON/100-276	1.18227	0.4342857142857143	175	177	179	76	97	4	2	PF02826	CL0063	Domain	133
45	RV_PF02826_p22	Q8EJ83_SHEON/100-276	Q87KR2_VIBPA/98-272	1.18227	0.4342857142857143	177	175	179	76	97	2	4	PF02826	CL0063	Domain	133
46	FW_PF02826_p23	Q82ZZ6_ENTFA/107-282	Q97M35_CLOAB/104-278	1.59296	0.37714285714285717	176	175	177	66	108	1	2	PF02826	CL0063	Domain	133
47	RV_PF02826_p23	Q97M35_CLOAB/104-278	Q82ZZ6_ENTFA/107-282	1.59296	0.37714285714285717	175	176	177	66	108	2	1	PF02826	CL0063	Domain	133
