	pairID	ancestor	descendant	TREEDIST_anc-to-desc	perc_seq_id	anc_seq_len	desc_seq_len	alignment_len	num_matches	num_subs	num_ins	num_dels	pfam	clan	type	pfam_Nseqs	original_loc
0	FW_PF00389_p0	Q9KP92_VIBCH/13-326	SERA_ECOLI/14-326	0.28813	0.7571884984025559	314	313	314	237	76	0	1	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
1	RV_PF00389_p0	SERA_ECOLI/14-326	Q9KP92_VIBCH/13-326	0.28813	0.7571884984025559	313	314	314	237	76	1	0	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
2	FW_PF00389_p1	Q9I530_PSEAE/3-328	Q9S2M5_STRCO/3-328	0.99738	0.4938650306748466	326	326	327	161	164	1	1	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
3	RV_PF00389_p1	Q9S2M5_STRCO/3-328	Q9I530_PSEAE/3-328	0.99738	0.4938650306748466	326	326	327	161	164	1	1	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
4	FW_PF00389_p2	YEAA_SCHPO/9-327	YGDH_SCHPO/9-332	1.80028	0.3197492163009404	319	324	330	102	211	11	6	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
5	RV_PF00389_p2	YGDH_SCHPO/9-332	YEAA_SCHPO/9-327	1.80028	0.3197492163009404	324	319	330	102	211	6	11	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
6	FW_PF00389_p3	GRHPR_HUMAN/9-327	Q9VII9_DROME/10-326	1.42422	0.3690851735015772	319	317	321	117	198	2	4	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
7	RV_PF00389_p3	Q9VII9_DROME/10-326	GRHPR_HUMAN/9-327	1.42422	0.3690851735015772	317	319	321	117	198	4	2	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
8	FW_PF00389_p4	Q9A244_CAUVC/24-340	Q9HXB7_PSEAE/5-318	1.54483	0.375796178343949	317	314	321	118	192	4	7	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
9	RV_PF00389_p4	Q9HXB7_PSEAE/5-318	Q9A244_CAUVC/24-340	1.54483	0.375796178343949	314	317	321	118	192	7	4	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
10	FW_PF00389_p5	O67741_AQUAE/4-320	SERA_SYNY3/32-339	1.60454	0.3603896103896103	317	308	319	111	195	2	11	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
11	RV_PF00389_p5	SERA_SYNY3/32-339	O67741_AQUAE/4-320	1.60454	0.3603896103896103	308	317	319	111	195	11	2	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
12	FW_PF00389_p6	CTBP1_CAEEL/181-504	CTBP_DROME/30-352	1.0135	0.4953560371517028	324	323	324	160	163	0	1	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
13	RV_PF00389_p6	CTBP_DROME/30-352	CTBP1_CAEEL/181-504	1.0135	0.4953560371517028	323	324	324	160	163	1	0	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
14	FW_PF00389_p7	Q9RUU0_DEIRA/18-329	Q9WYG2_THEMA/4-311	1.39769	0.3571428571428571	312	308	317	110	193	5	9	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
15	RV_PF00389_p7	Q9WYG2_THEMA/4-311	Q9RUU0_DEIRA/18-329	1.39769	0.3571428571428571	308	312	317	110	193	9	5	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
16	FW_PF00389_p8	SERA_SCHPO/58-378	SERA_YEAST/61-381	0.34733	0.7258566978193146	321	321	321	233	88	0	0	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
17	RV_PF00389_p8	SERA_YEAST/61-381	SERA_SCHPO/58-378	0.34733	0.7258566978193146	321	321	321	233	88	0	0	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
18	FW_PF00389_p9	Q2FXK1_STAA8/6-315	Q9KCG9_HALH5/20-325	0.86818	0.5098039215686274	310	306	314	156	146	4	8	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
19	RV_PF00389_p9	Q9KCG9_HALH5/20-325	Q2FXK1_STAA8/6-315	0.86818	0.5098039215686274	306	310	314	156	146	8	4	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
20	FW_PF00389_p10	E9ACF1_LEIMA/115-427	Q89388_PBCV1/32-362	4.61529	0.1757188498402556	313	331	337	55	252	24	6	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
21	RV_PF00389_p10	Q89388_PBCV1/32-362	E9ACF1_LEIMA/115-427	4.61529	0.1757188498402556	331	313	337	55	252	6	24	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
22	FW_PF00389_p11	Q7W0H7_BORPE/11-324	Q9PBD8_XYLFA/15-328	0.5973299999999999	0.60828025477707	314	314	314	191	123	0	0	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
23	RV_PF00389_p11	Q9PBD8_XYLFA/15-328	Q7W0H7_BORPE/11-324	0.5973299999999999	0.60828025477707	314	314	314	191	123	0	0	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
24	FW_PF00389_p12	GYAR_AERPE/6-324	Y2577_STAA8/5-317	2.62616	0.2396166134185303	319	313	319	75	238	0	6	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
25	RV_PF00389_p12	Y2577_STAA8/5-317	GYAR_AERPE/6-324	2.62616	0.2396166134185303	313	319	319	75	238	6	0	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
26	FW_PF00389_p13	Q97MV2_CLOAB/3-317	Q9KLW1_VIBCH/3-321	2.67498	0.2	315	319	327	63	244	12	8	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
27	RV_PF00389_p13	Q9KLW1_VIBCH/3-321	Q97MV2_CLOAB/3-317	2.67498	0.2	319	315	327	63	244	8	12	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
28	FW_PF00389_p14	HPR3_ARATH/9-321	Q9A6E7_CAUVC/11-318	1.70448	0.3084415584415584	313	308	328	95	198	15	20	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
29	RV_PF00389_p14	Q9A6E7_CAUVC/11-318	HPR3_ARATH/9-321	1.70448	0.3084415584415584	308	313	328	95	198	20	15	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
30	FW_PF00389_p15	SERA2_ARATH/85-394	SERA3_ARATH/49-358	0.2488	0.7870967741935484	310	310	310	244	66	0	0	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
31	RV_PF00389_p15	SERA3_ARATH/49-358	SERA2_ARATH/85-394	0.2488	0.7870967741935484	310	310	310	244	66	0	0	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
32	FW_PF00389_p16	Q97F10_CLOAB/3-323	Q9HVG5_PSEAE/7-321	2.46684	0.2603174603174603	321	315	324	82	230	3	9	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
33	RV_PF00389_p16	Q9HVG5_PSEAE/7-321	Q97F10_CLOAB/3-323	2.46684	0.2603174603174603	315	321	324	82	230	9	3	PF00389	CL0063	Domain	78	CHERRIES_split1_all_metadata/PF00389_metadata.tsv
